Name	Klasse	1. Wahl	2. Wahl	3. Wahl	4. Wahl	Relevant	E-Mail
student135	class02	GL01	GL03	GL21	GL11	GL01	no.mail
student232	class02	GL11	GL13	GL18	GL08	GL11	no.mail
student236	class02	GL06	GL09	GL01	GL05	GL06	no.mail
student262	class02	GL01	GL03	GL21	GL11	GL01	no.mail
student267	class02	GL06	GL17	GL05	GL09	GL06	no.mail
student306	class02	GL06	GL17	GL01	GL09	GL06	no.mail
student004	class03	GL02	GL21	GL15	GL08	GL02	no.mail
student010	class03	GL19	GL04	GL08	GL13	GL19	no.mail
student014	class03	GL02	GL08	GL21	GL04	GL02	no.mail
student025	class03	GL21	GL17	GL02	GL12	GL21	no.mail
student046	class03	GL04	GL06	GL11	GL03	GL04	no.mail
student050	class03	GL21	GL17	GL02	GL12	GL21	no.mail
student059	class03	GL19	GL04	GL08	GL13	GL19	no.mail
student060	class03	GL04	GL06	GL11	GL03	GL04	no.mail
student089	class03	GL01	GL04	GL14	GL03	GL01	no.mail
student096	class03	GL02	GL21	GL15	GL08	GL02	no.mail
student123	class03	GL04	GL03	GL11	GL13	GL04	no.mail
student138	class03	GL04	GL06	GL01	GL03	GL04	no.mail
student150	class03	GL04	GL06	GL11	GL03	GL04	no.mail
student182	class03	GL19	GL04	GL08	GL13	GL19	no.mail
student202	class03	GL01	GL04	GL14	GL03	GL01	no.mail
student203	class03	GL04	GL08	GL12	GL15	GL04	no.mail
student230	class03	GL02	GL04	GL12	GL20	GL02	no.mail
student235	class03	GL04	GL06	GL11	GL03	GL04	no.mail
student250	class03	GL01	GL04	GL14	GL03	GL01	no.mail
student253	class03	GL01	GL04	GL14	GL03	GL01	no.mail
student300	class03	GL13	GL21	GL04	GL08	GL13	no.mail
student301	class03	GL15	GL17	GL20	GL02	GL15	no.mail
student005	class04	GL14	GL04	GL06	GL10	GL14	no.mail
student007	class04	GL02	GL04	GL05	GL21	GL02	no.mail
student051	class04	GL04	GL13	GL17	GL21	GL04	no.mail
student105	class04	GL14	GL04	GL10	GL06	GL14	no.mail
student115	class04	GL21	GL03	GL07	GL10	GL21	no.mail
student117	class04	GL22	GL14	GL08	GL17	GL22	no.mail
student133	class04	GL11	GL02	GL05	GL21	GL11	no.mail
student137	class04	GL14	GL04	GL06	GL10	GL14	no.mail
student139	class04	GL02	GL04	GL05	GL21	GL02	no.mail
student143	class04	GL02	GL04	GL06	GL10	GL02	no.mail
student167	class04	GL21	GL03	GL04	GL11	GL21	no.mail
student204	class04	GL14	GL04	GL10	GL06	GL14	no.mail
student228	class04						no.mail
student238	class04	GL08	GL04	GL19	GL15	GL08	no.mail
student257	class04	GL05	GL02	GL04	GL13	GL05	no.mail
student270	class04	GL21	GL03	GL07	GL11	GL21	no.mail
student299	class04	GL08	GL04	GL02	GL17	GL08	no.mail
student307	class04	GL14	GL04	GL06	GL10	GL14	no.mail
student309	class04	GL21	GL07	GL15	GL08	GL21	no.mail
student317	class04	GL14	GL04	GL06	GL10	GL14	no.mail
student008	class05	GL13	GL21	GL01	GL02	GL13	no.mail
student027	class05	GL19	GL01	GL07	GL12	GL19	no.mail
student031	class05	GL04	GL06	GL08	GL10	GL04	no.mail
student042	class05	GL20	GL05	GL15	GL18	GL20	no.mail
student062	class05	GL11	GL21	GL14	GL04	GL11	no.mail
student076	class05	GL20	GL05	GL15	GL18	GL20	no.mail
student078	class05	GL08	GL02	GL14	GL21	GL08	no.mail
student085	class05	GL13	GL03	GL02	GL06	GL13	no.mail
student119	class05	GL01	GL19	GL02	GL04	GL01	no.mail
student161	class05	GL01	GL12	GL07	GL21	GL01	no.mail
student162	class05	GL08	GL01	GL13	GL21	GL08	no.mail
student196	class05	GL01	GL02	GL08	GL04	GL01	no.mail
student211	class05	GL01	GL02	GL04	GL14	GL01	no.mail
student214	class05	GL13	GL21	GL01	GL02	GL13	no.mail
student226	class05	GL02	GL04	GL01	GL17	GL02	no.mail
student244	class05	GL20	GL05	GL15	GL18	GL20	no.mail
student259	class05	GL20	GL05	GL15	GL18	GL20	no.mail
student266	class05	GL20	GL02	GL08	GL15	GL20	no.mail
student274	class05	GL15	GL04	GL09	GL14	GL15	no.mail
student295	class05	GL07	GL04	GL01	GL02	GL07	no.mail
student302	class05	GL01	GL02	GL04	GL14	GL01	no.mail
student305	class05	GL02	GL20	GL04	GL06	GL02	no.mail
student310	class05	GL08	GL18	GL04	GL13	GL08	no.mail
student009	class06	GL01	GL13	GL14	GL03	GL01	no.mail
student034	class06	GL01	GL02	GL13	GL21	GL01	no.mail
student052	class06	GL11	GL13	GL04	GL09	GL11	no.mail
student073	class06	GL13	GL18	GL08	GL05	GL13	no.mail
student083	class06	GL08	GL07	GL03	GL11	GL08	no.mail
student112	class06	GL04	GL14	GL13	GL11	GL04	no.mail
student126	class06	GL01	GL13	GL21	GL04	GL01	no.mail
student155	class06						no.mail
student163	class06	GL13	GL18	GL08	GL05	GL13	no.mail
student170	class06	GL08	GL07	GL03	GL11	GL08	no.mail
student173	class06	GL04	GL14	GL11	GL13	GL04	no.mail
student185	class06	GL02	GL01	GL13	GL21	GL02	no.mail
student207	class06	GL08	GL07	GL03	GL11	GL08	no.mail
student209	class06	GL13	GL08	GL21	GL07	GL13	no.mail
student221	class06	GL13	GL01	GL15	GL08	GL13	no.mail
student223	class06	GL11	GL13	GL04	GL09	GL11	no.mail
student241	class06	GL01	GL02	GL13	GL21	GL01	no.mail
student273	class06	GL13	GL17	GL06	GL08	GL13	no.mail
student278	class06	GL01	GL13	GL21	GL04	GL01	no.mail
student291	class06	GL01	GL02	GL13	GL21	GL01	no.mail
student315	class06	GL13	GL18	GL08	GL05	GL13	no.mail
student316	class06	GL08	GL07	GL03	GL11	GL08	no.mail
student011	class07	GL04	GL03	GL02	GL11	GL04	no.mail
student016	class07	GL03	GL19	GL04	GL11	GL03	no.mail
student029	class07	GL04	GL03	GL02	GL11	GL04	no.mail
student037	class07	GL03	GL19	GL08	GL06	GL03	no.mail
student111	class07	GL03	GL19	GL07	GL08	GL03	no.mail
student125	class07	GL08	GL21	GL06	GL14	GL08	no.mail
student136	class07	GL10	GL04	GL06	GL02	GL10	no.mail
student144	class07	GL20	GL08	GL06	GL02	GL20	no.mail
student147	class07	GL04	GL03	GL02	GL11	GL04	no.mail
student152	class07	GL04	GL03	GL02	GL11	GL04	no.mail
student180	class07	GL13	GL03	GL15	GL06	GL13	no.mail
student197	class07	GL03	GL19	GL07	GL06	GL03	no.mail
student251	class07	GL13	GL03	GL15	GL06	GL13	no.mail
student281	class07	GL04	GL03	GL02	GL11	GL04	no.mail
student298	class07	GL02	GL01	GL12	GL04	GL02	no.mail
student012	class08						no.mail
student028	class08	GL03	GL19	GL11	GL21	GL03	no.mail
student041	class08	GL21	GL01	GL11	GL03	GL21	no.mail
student054	class08	GL11	GL13	GL03	GL19	GL11	no.mail
student056	class08	GL03	GL19	GL11	GL21	GL03	no.mail
student066	class08	GL21	GL01	GL11	GL03	GL21	no.mail
student067	class08	GL01	GL06	GL03	GL13	GL01	no.mail
student079	class08	GL09	GL18	GL20	GL08	GL09	no.mail
student080	class08						no.mail
student091	class08	GL02	GL01	GL11	GL07	GL02	no.mail
student093	class08	GL12	GL22	GL08	GL07	GL12	no.mail
student103	class08	GL11	GL20	GL12	GL22	GL11	no.mail
student127	class08	GL01	GL06	GL03	GL13	GL01	no.mail
student146	class08	GL01	GL02	GL11	GL04	GL01	no.mail
student149	class08	GL11	GL06	GL05	GL13	GL11	no.mail
student181	class08	GL03	GL19	GL11	GL21	GL03	no.mail
student187	class08	GL01	GL06	GL03	GL13	GL01	no.mail
student208	class08	GL12	GL13	GL09	GL22	GL12	no.mail
student233	class08	GL21	GL01	GL11	GL03	GL21	no.mail
student013	class09	GL08	GL20	GL04	GL15	GL08	no.mail
student047	class09	GL04	GL17	GL18	GL16	GL04	no.mail
student075	class09	GL08	GL03	GL11	GL19	GL08	no.mail
student087	class09	GL01	GL04	GL16	GL21	GL01	no.mail
student088	class09	GL08	GL03	GL11	GL19	GL08	no.mail
student098	class09	GL13	GL08	GL04	GL01	GL13	no.mail
student108	class09	GL11	GL16	GL06	GL12	GL11	no.mail
student131	class09	GL01	GL04	GL16	GL21	GL01	no.mail
student158	class09	GL08	GL04	GL02	GL15	GL08	no.mail
student177	class09	GL07	GL14	GL04	GL01	GL07	no.mail
student189	class09						no.mail
student193	class09	GL13	GL08	GL04	GL01	GL13	no.mail
student229	class09						no.mail
student271	class09						no.mail
student280	class09	GL13	GL04	GL01	GL17	GL13	no.mail
student292	class09	GL08	GL03	GL11	GL19	GL08	no.mail
student320	class09	GL01	GL04	GL16	GL21	GL01	no.mail
student015	class10						no.mail
student020	class10	GL14	GL12	GL06	GL22	GL14	no.mail
student032	class10	GL13	GL12	GL06	GL05	GL13	no.mail
student044	class10	GL13	GL21	GL04	GL01	GL13	no.mail
student053	class10	GL04	GL18	GL17	GL21	GL04	no.mail
student057	class10	GL05	GL07	GL20	GL04	GL05	no.mail
student101	class10	GL05	GL07	GL20	GL04	GL05	no.mail
student109	class10	GL11	GL18	GL22	GL01	GL11	no.mail
student114	class10	GL14	GL12	GL06	GL22	GL14	no.mail
student129	class10						no.mail
student140	class10	GL13	GL21	GL04	GL01	GL13	no.mail
student159	class10	GL21	GL09	GL03	GL22	GL21	no.mail
student165	class10	GL11	GL14	GL07	GL04	GL11	no.mail
student176	class10	GL04	GL14	GL17	GL03	GL04	no.mail
student184	class10	GL13	GL21	GL04	GL01	GL13	no.mail
student206	class10	GL05	GL07	GL20	GL04	GL05	no.mail
student210	class10	GL02	GL04	GL21	GL06	GL02	no.mail
student215	class10	GL17	GL04	GL18	GL02	GL17	no.mail
student219	class10	GL13	GL04	GL17	GL18	GL13	no.mail
student252	class10	GL04	GL18	GL17	GL21	GL04	no.mail
student255	class10						no.mail
student284	class10	GL06	GL10	GL17	GL13	GL06	no.mail
student288	class10	GL13	GL21	GL04	GL01	GL13	no.mail
student289	class10	GL04	GL13	GL02	GL18	GL04	no.mail
student019	class11	GL02	GL20	GL17	GL04	GL02	no.mail
student058	class11	GL10	GL01	GL06	GL02	GL10	no.mail
student068	class11	GL10	GL07	GL08	GL13	GL10	no.mail
student081	class11	GL10	GL08	GL07	GL20	GL10	no.mail
student092	class11	GL09	GL08	GL15	GL10	GL09	no.mail
student106	class11	GL02	GL15	GL18	GL08	GL02	no.mail
student124	class11						no.mail
student130	class11	GL09	GL17	GL02	GL13	GL09	no.mail
student156	class11	GL02	GL13	GL04	GL17	GL02	no.mail
student201	class11	GL14	GL12	GL13	GL05	GL14	no.mail
student227	class11	GL10	GL01	GL06	GL02	GL10	no.mail
student245	class11	GL13	GL15	GL14	GL03	GL13	no.mail
student249	class11	GL13	GL05	GL18	GL03	GL13	no.mail
student263	class11	GL06	GL17	GL02	GL04	GL06	no.mail
student296	class11	GL13	GL15	GL02	GL10	GL13	no.mail
student318	class11						no.mail
student021	class12	GL13	GL08	GL21	GL10	GL13	no.mail
student026	class12	GL08	GL02	GL10	GL01	GL08	no.mail
student069	class12	GL03	GL21	GL13	GL14	GL03	no.mail
student084	class12	GL14	GL17	GL15	GL13	GL14	no.mail
student107	class12	GL01	GL04	GL13	GL15	GL01	no.mail
student132	class12	GL18	GL06	GL04	GL08	GL18	no.mail
student154	class12	GL08	GL02	GL10	GL01	GL08	no.mail
student179	class12	GL17	GL08	GL04	GL02	GL17	no.mail
student190	class12	GL08	GL02	GL10	GL01	GL08	no.mail
student194	class12	GL17	GL08	GL04	GL02	GL17	no.mail
student195	class12	GL07	GL10	GL03	GL08	GL07	no.mail
student199	class12	GL14	GL17	GL15	GL13	GL14	no.mail
student217	class12	GL17	GL08	GL20	GL04	GL17	no.mail
student225	class12	GL07	GL10	GL03	GL08	GL07	no.mail
student246	class12	GL01	GL20	GL21	GL14	GL01	no.mail
student261	class12	GL01	GL04	GL13	GL15	GL01	no.mail
student268	class12	GL03	GL21	GL11	GL14	GL03	no.mail
student277	class12	GL03	GL21	GL07	GL11	GL03	no.mail
student290	class12	GL03	GL21	GL11	GL14	GL03	no.mail
student022	class13						no.mail
student030	class13	GL15	GL19	GL07	GL21	GL15	no.mail
student035	class13	GL18	GL19	GL10	GL06	GL18	no.mail
student049	class13	GL11	GL07	GL21	GL03	GL11	no.mail
student063	class13						no.mail
student090	class13	GL15	GL13	GL04	GL01	GL15	no.mail
student102	class13	GL13	GL04	GL11	GL08	GL13	no.mail
student118	class13	GL18	GL03	GL14	GL06	GL18	no.mail
student141	class13						no.mail
student145	class13	GL02	GL01	GL11	GL14	GL02	no.mail
student153	class13	GL15	GL04	GL21	GL01	GL15	no.mail
student166	class13						no.mail
student186	class13	GL08	GL11	GL15	GL17	GL08	no.mail
student191	class13	GL02	GL01	GL12	GL04	GL02	no.mail
student192	class13	GL08	GL11	GL15	GL17	GL08	no.mail
student216	class13						no.mail
student218	class13	GL01	GL03	GL11	GL14	GL01	no.mail
student237	class13						no.mail
student240	class13	GL19	GL18	GL02	GL06	GL19	no.mail
student247	class13						no.mail
student254	class13	GL11	GL05	GL13	GL07	GL11	no.mail
student256	class13	GL07	GL19	GL12	GL10	GL07	no.mail
student286	class13	GL13	GL02	GL01	GL21	GL13	no.mail
student304	class13	GL01	GL15	GL13	GL21	GL01	no.mail
student023	class14	GL02	GL08	GL04	GL11	GL02	no.mail
student033	class14	GL21	GL01	GL18	GL04	GL21	no.mail
student036	class14						no.mail
student043	class14	GL03	GL06	GL18	GL08	GL03	no.mail
student065	class14	GL11	GL14	GL03	GL02	GL11	no.mail
student086	class14	GL13	GL11	GL02	GL19	GL13	no.mail
student104	class14	GL11	GL14	GL03	GL02	GL11	no.mail
student110	class14						no.mail
student128	class14	GL01	GL04	GL02	GL03	GL01	no.mail
student134	class14	GL02	GL03	GL08	GL21	GL02	no.mail
student168	class14	GL01	GL04	GL02	GL03	GL01	no.mail
student169	class14	GL01	GL02	GL03	GL04	GL01	no.mail
student178	class14	GL03	GL06	GL18	GL08	GL03	no.mail
student183	class14	GL13	GL11	GL14	GL19	GL13	no.mail
student231	class14	GL11	GL02	GL17	GL04	GL11	no.mail
student234	class14	GL02	GL08	GL04	GL11	GL02	no.mail
student242	class14	GL04	GL08	GL02	GL15	GL04	no.mail
student243	class14	GL21	GL01	GL18	GL04	GL21	no.mail
student248	class14	GL04	GL08	GL02	GL15	GL04	no.mail
student276	class14	GL03	GL06	GL18	GL08	GL03	no.mail
student283	class14	GL05	GL02	GL04	GL13	GL05	no.mail
student294	class14	GL01	GL02	GL03	GL04	GL01	no.mail
student312	class14	GL04	GL08	GL02	GL15	GL04	no.mail
student314	class14	GL04	GL08	GL02	GL15	GL04	no.mail
student039	class15	GL03	GL06	GL08	GL19	GL03	no.mail
student071	class15	GL07	GL01	GL06	GL08	GL07	no.mail
student074	class15	GL10	GL09	GL08	GL21	GL10	no.mail
student077	class15	GL10	GL09	GL08	GL21	GL10	no.mail
student082	class15	GL13	GL17	GL20	GL06	GL13	no.mail
student099	class15	GL13	GL03	GL02	GL10	GL13	no.mail
student113	class15	GL03	GL19	GL07	GL08	GL03	no.mail
student116	class15	GL21	GL20	GL18	GL16	GL21	no.mail
student122	class15	GL01	GL17	GL02	GL20	GL01	no.mail
student148	class15	GL02	GL01	GL21	GL04	GL02	no.mail
student151	class15	GL13	GL03	GL02	GL15	GL13	no.mail
student174	class15						no.mail
student175	class15						no.mail
student213	class15	GL02	GL10	GL04	GL21	GL02	no.mail
student258	class15	GL02	GL01	GL21	GL04	GL02	no.mail
student264	class15	GL02	GL01	GL21	GL04	GL02	no.mail
student282	class15	GL13	GL03	GL04	GL15	GL13	no.mail
student285	class15						no.mail
student293	class15	GL11	GL14	GL13	GL04	GL11	no.mail
student297	class15	GL01	GL05	GL13	GL18	GL01	no.mail
student303	class15	GL03	GL19	GL07	GL08	GL03	no.mail
student313	class15	GL10	GL09	GL08	GL21	GL10	no.mail
student321	class15	GL02	GL01	GL21	GL04	GL02	no.mail
student322	class15						no.mail
